"CdS","Coorte","Genere","Voto_test","Crediti_convoto","Crediti_totali","Voto_medio","Scuola_provenienza","Esame_Matematica","Voto_Matematica"
"CdS2",2010,"M",0.68,9,9,20,"LS","EsameMatematica",24
"CdS2",2010,"M",0.48,12,12,18,"IT","EsameMatematica",25
"CdS2",2010,"M",0.4,12,12,24,"IP","EsameMatematica",20
"CdS3",2010,"F",0.64,48,57,25,"LS","EsameMatematica",25
"CdS3",2010,"F",0.56,30,36,24,"LS","EsameMatematica",23
"CdS3",2010,"M",0.96,57,60,30,"LS","EsameMatematica",31
"CdS3",2010,"F",0.6,0,3,0,"LS","Non superato",0
"CdS3",2010,"M",0.6,30,33,21,"LS","EsameMatematica",24
"CdS3",2010,"F",0.76,15,36,26,"IT","EsameMatematica",26
"CdS3",2010,"F",0.76,30,33,25,"LS","EsameMatematica",23
"CdS3",2010,"M",0.96,30,30,26,"LS","EsameMatematica",30
"CdS3",2010,"F",0.88,57,60,27,"LS","EsameMatematica",31
"CdS3",2010,"M",0.72,15,27,19,"LS","EsameMatematica",19
"CdS3",2010,"M",0.64,0,3,0,"Altro","Non superato",0
"CdS3",2010,"M",1,57,60,29,"LS","EsameMatematica",30
"CdS3",2010,"F",0.8,39,42,23,"LS","EsameMatematica",24
"CdS3",2010,"M",0.8,57,60,29,"LS","EsameMatematica",30
"CdS3",2010,"M",1,57,60,30,"LS","EsameMatematica",31
"CdS3",2010,"F",0.92,39,42,25,"LS","EsameMatematica",28
"CdS3",2010,"M",0.64,15,21,18,"IT","EsameMatematica",18
"CdS3",2010,"M",0.92,57,60,30,"LS","EsameMatematica",30
"CdS3",2010,"F",0.56,0,3,0,"LC","Non superato",0
"CdS3",2010,"M",0.52,15,18,22,"LS","EsameMatematica",22
"CdS3",2010,"F",0.96,33,36,25,"LS","EsameMatematica",28
"CdS3",2010,"M",1,57,60,29,"LS","EsameMatematica",30
"CdS3",2010,"M",0.68,21,36,23,"LS","EsameMatematica",23
"CdS3",2010,"M",0.68,21,36,23,"LS","EsameMatematica",23
"CdS3",2010,"M",0.68,9,9,18,"TC","Non superato",0
"CdS3",2010,"F",0.96,48,51,22,"LS","EsameMatematica",25
"CdS3",2010,"F",0.64,39,42,25,"LS","EsameMatematica",26
"CdS3",2010,"F",0.76,48,51,26,"LS","EsameMatematica",31
"CdS3",2010,"F",0.92,48,51,23,"LS","EsameMatematica",28
"CdS3",2010,"F",0.6,0,3,0,"LS","Non superato",0
"CdS3",2010,"F",0.44,0,3,0,"LS","Non superato",0
"CdS3",2010,"F",0.8,30,33,24,"LS","EsameMatematica",20
"CdS3",2010,"F",0.72,30,33,18,"LS","EsameMatematica",18
"CdS3",2010,"F",0.56,39,39,27,"LS","EsameMatematica",25
"CdS3",2010,"F",0.84,15,18,21,"LS","EsameMatematica",21
"CdS3",2010,"F",0.6,0,6,0,"LC","EsameMatematica",22
"CdS3",2010,"M",0.96,48,51,24,"LS","EsameMatematica",28
"CdS3",2010,"F",0.68,15,18,23,"LC","EsameMatematica",23
"CdS3",2010,"M",0.96,15,27,28,"LS","EsameMatematica",28
"CdS3",2010,"F",0.8,48,51,24,"LC","EsameMatematica",28
"CdS3",2010,"M",0.84,24,27,19,"LS","EsameMatematica",20
"CdS3",2010,"F",0.68,18,22,19,"LS","EsameMatematica",19
"CdS3",2010,"F",0.68,18,22,19,"LS","EsameMatematica",19
"CdS3",2010,"M",0.88,30,33,23,"LS","EsameMatematica",26
"CdS3",2010,"M",0.72,57,60,28,"LS","EsameMatematica",31
"CdS3",2010,"F",0.4,30,33,24,"LS","EsameMatematica",24
"CdS3",2010,"F",0.68,15,15,18,"LS","EsameMatematica",18
"CdS3",2010,"F",0.88,48,51,25,"LS","EsameMatematica",31
"CdS3",2010,"F",0.44,15,15,21,"LS","EsameMatematica",21
"CdS3",2010,"F",0.76,15,18,19,"LC","EsameMatematica",19
"CdS3",2010,"M",0.72,30,33,22,"LS","EsameMatematica",25
"CdS3",2010,"F",0.8,39,42,26,"LS","EsameMatematica",28
"CdS3",2010,"F",0.6,15,18,18,"LS","EsameMatematica",18
"CdS3",2010,"F",0.52,30,57,27,"LC","EsameMatematica",28
"CdS3",2010,"F",0.72,0,3,0,"IT","Non superato",0
"CdS3",2010,"M",0.68,15,18,24,"LS","EsameMatematica",24
"CdS3",2010,"F",0.48,0,3,0,"TC","Non superato",0
"CdS3",2010,"F",0.68,15,18,19,"TC","EsameMatematica",19
"CdS3",2010,"F",0.56,0,3,0,"IT","Non superato",0
"CdS3",2010,"F",0.72,15,42,23,"LS","EsameMatematica",23
"CdS3",2010,"F",0.8,24,27,24,"LS","EsameMatematica",27
"CdS3",2010,"F",0.96,30,30,24,"LS","EsameMatematica",25
"CdS3",2010,"M",0.48,15,15,18,"LS","EsameMatematica",18
"CdS3",2010,"M",0.88,30,33,27,"LS","EsameMatematica",26
"CdS3",2010,"M",0.56,0,6,0,"LS","Non superato",0
"CdS1",2011,"M",0.72,21,21,21,"LS","EsameMatematica",21
"CdS1",2011,"M",0.8,57,60,25,"LS","EsameMatematica",26
"CdS1",2011,"M",0.6,57,60,24,"LC","EsameMatematica",29
"CdS1",2011,"F",0.88,45,48,26,"LS","EsameMatematica",30
"CdS1",2011,"M",0.64,45,93,28,"IT","EsameMatematica",30
"CdS1",2011,"F",0.76,45,48,25,"LS","EsameMatematica",24
"CdS1",2011,"M",0.88,57,60,29,"LS","EsameMatematica",30
"CdS1",2011,"M",0.88,57,60,29,"LS","EsameMatematica",29
"CdS1",2011,"M",0.6,45,45,27,"LS","EsameMatematica",31
"CdS1",2011,"M",0.72,57,60,26,"IT","EsameMatematica",30
"CdS1",2011,"M",0.92,57,60,30,"LS","EsameMatematica",29
"CdS1",2011,"F",0.68,39,42,26,"LS","EsameMatematica",24
"CdS1",2011,"M",0.96,57,60,31,"LS","EsameMatematica",31
"CdS1",2011,"M",0.64,27,30,22,"IT","EsameMatematica",21
"CdS1",2011,"M",0.92,39,42,28,"IT","EsameMatematica",30
"CdS1",2011,"M",0.64,24,27,20,"LS","EsameMatematica",18
"CdS1",2011,"M",0.84,12,15,20,"LS","EsameMatematica",20
"CdS1",2011,"F",0.4,18,18,21,"LS","EsameMatematica",19
"CdS1",2011,"F",0.6,57,60,25,"Altro","EsameMatematica",24
"CdS1",2011,"M",0.92,51,54,24,"LS","EsameMatematica",26
"CdS1",2011,"F",0.84,45,48,26,"LS","EsameMatematica",29
"CdS1",2011,"M",0.92,57,57,26,"LS","EsameMatematica",31
"CdS1",2011,"M",1,57,60,28,"LS","EsameMatematica",31
"CdS1",2011,"F",0.96,57,60,29,"LC","EsameMatematica",31
"CdS1",2011,"F",1,45,48,28,"LS","EsameMatematica",27
"CdS1",2011,"M",0.68,57,60,24,"LS","EsameMatematica",22
"CdS1",2011,"M",0.76,45,45,25,"LS","EsameMatematica",30
"CdS1",2011,"M",0.48,12,12,26,"LS","EsameMatematica",23
"CdS1",2011,"M",0.96,57,60,29,"LC","EsameMatematica",30
"CdS1",2011,"F",0.92,57,60,27,"LS","EsameMatematica",28
"CdS1",2011,"M",0.64,39,42,25,"LC","EsameMatematica",23
"CdS1",2011,"M",0.84,18,18,20,"LS","EsameMatematica",21
"CdS1",2011,"M",0.64,57,60,23,"LC","EsameMatematica",21
"CdS1",2011,"F",0.72,57,57,25,"LS","EsameMatematica",30
"CdS1",2011,"F",0.6,39,42,21,"LC","EsameMatematica",20
"CdS1",2011,"M",0.68,12,12,28,"IT","EsameMatematica",21
"CdS1",2011,"M",1,57,60,28,"LS","EsameMatematica",31
"CdS1",2011,"M",0.76,57,57,26,"LS","EsameMatematica",25
"CdS1",2011,"F",0.64,45,45,27,"LS","EsameMatematica",25
"CdS1",2011,"M",0.92,57,60,27,"LS","EsameMatematica",28
"CdS1",2011,"M",0.88,57,60,26,"LS","EsameMatematica",28
"CdS1",2011,"M",0.64,0,3,0,"LS","Non superato",0
"CdS1",2011,"F",0.52,0,3,0,"Altro","Non superato",0
"CdS1",2011,"F",0.52,0,3,0,"Altro","Non superato",0
"CdS1",2011,"M",0.64,6,27,24,"TC","EsameMatematica",20
"CdS1",2011,"M",0.64,30,33,25,"LS","EsameMatematica",31
"CdS1",2011,"M",0.84,57,60,27,"LS","EsameMatematica",30
"CdS1",2011,"M",0.64,33,36,22,"LS","EsameMatematica",22
"CdS1",2011,"F",0.52,36,51,26,"LC","EsameMatematica",25
"CdS1",2011,"F",0.52,36,51,26,"LC","EsameMatematica",0
"CdS1",2011,"M",0.68,57,57,23,"Altro","EsameMatematica",22
"CdS1",2011,"M",0.6,24,51,23,"IT","EsameMatematica",23
"CdS1",2011,"F",0.48,6,9,23,"TC","Non superato",0
"CdS1",2011,"F",0.6,6,9,23,"IT","Non superato",0
"CdS1",2011,"M",0.72,57,60,27,"LC","EsameMatematica",30
"CdS1",2011,"M",0.64,36,36,24,"IT","EsameMatematica",22
"CdS1",2011,"M",0.72,45,48,24,"LS","EsameMatematica",24
"CdS1",2011,"M",0.44,0,3,0,"IT","Non superato",0
"CdS1",2011,"M",0.56,57,60,24,"IT","EsameMatematica",30
"CdS1",2011,"F",0.48,18,21,23,"LC","EsameMatematica",21
"CdS1",2011,"M",0.72,45,48,27,"LC","EsameMatematica",28
"CdS1",2011,"M",0,24,27,27,"LS","EsameMatematica",24
"CdS1",2011,"M",0.52,12,18,18,"IP","Non superato",0
"CdS1",2011,"M",0.6,12,18,18,"Altro","Non superato",0
"CdS2",2011,"M",0.24,0,4,0,"Altro","Non superato",0
"CdS2",2011,"F",0.56,12,15,25,"LS","EsameMatematica",26
"CdS2",2011,"M",0.68,24,24,24,"IT","EsameMatematica",27
"CdS2",2011,"M",0.56,24,24,25,"LS","EsameMatematica",25
"CdS2",2011,"M",0.48,0,6,0,"LS","Non superato",0
"CdS2",2011,"M",0.52,0,6,0,"LS","Non superato",0
"CdS2",2011,"M",0.56,24,24,25,"IT","Non superato",0
"CdS2",2011,"M",0.52,36,36,28,"TC","EsameMatematica",21
"CdS2",2011,"M",0.68,24,27,27,"LS","EsameMatematica",26
"CdS2",2011,"M",0.48,57,57,27,"IP","EsameMatematica",30
"CdS2",2011,"M",0.48,24,24,22,"Altro","Non superato",0
"CdS2",2011,"M",0.64,33,33,23,"LS","EsameMatematica",18
"CdS2",2011,"M",0.44,36,39,27,"LS","EsameMatematica",26
"CdS2",2011,"F",0.8,0,3,0,"LS","Non superato",0
"CdS2",2011,"M",0.52,36,39,24,"LS","EsameMatematica",24
"CdS2",2011,"M",0.72,12,12,23,"LS","EsameMatematica",21
"CdS2",2011,"M",0.52,0,3,0,"LS","EsameMatematica",20
"CdS2",2011,"M",0.68,57,60,23,"IT","EsameMatematica",26
"CdS2",2011,"M",0.64,24,27,23,"IT","EsameMatematica",20
"CdS2",2011,"M",0.48,24,27,24,"LC","EsameMatematica",27
"CdS2",2011,"M",0.64,48,51,27,"LS","EsameMatematica",26
"CdS2",2011,"M",0.76,24,24,24,"LS","EsameMatematica",23
"CdS2",2011,"M",0.64,12,15,20,"IT","Non superato",0
"CdS2",2011,"M",0.68,36,36,29,"IT","EsameMatematica",30
"CdS2",2011,"M",0.52,24,24,23,"TC","EsameMatematica",20
"CdS2",2011,"M",0.68,24,27,23,"Altro","EsameMatematica",24
"CdS2",2011,"M",0.8,36,36,26,"IT","EsameMatematica",24
"CdS2",2011,"M",0.56,12,12,27,"IT","EsameMatematica",27
"CdS2",2011,"M",0,24,24,24,"LS","EsameMatematica",24
"CdS2",2011,"M",0.76,57,60,25,"LS","EsameMatematica",28
"CdS2",2011,"M",0.68,12,15,25,"LS","EsameMatematica",26
"CdS2",2011,"M",0.56,12,12,24,"LS","EsameMatematica",23
"CdS2",2011,"M",0.48,48,48,27,"IT","EsameMatematica",25
"CdS2",2011,"M",0.76,33,36,26,"LS","EsameMatematica",28
"CdS2",2011,"M",0.56,24,24,25,"LS","Non superato",0
"CdS2",2011,"M",0.28,0,3,0,"Altro","Non superato",0
"CdS2",2011,"F",0.48,12,12,27,"TC","Non superato",0
"CdS2",2011,"M",0.72,12,12,26,"IT","EsameMatematica",26
"CdS2",2011,"M",0.68,24,24,25,"IT","EsameMatematica",27
"CdS3",2011,"M",0.56,15,27,23,"LS","Non superato",0
"CdS3",2011,"F",0.88,48,51,27,"LS","EsameMatematica",27
"CdS3",2011,"F",0.76,15,15,18,"Altro","EsameMatematica",20
"CdS3",2011,"M",0.96,48,51,26,"LC","EsameMatematica",25
"CdS3",2011,"M",0.48,15,18,20,"IT","EsameMatematica",19
"CdS3",2011,"F",0.52,48,51,27,"LS","EsameMatematica",29
"CdS3",2011,"M",0.92,48,51,30,"LS","EsameMatematica",31
"CdS3",2011,"F",0.84,48,51,30,"LS","EsameMatematica",31
"CdS3",2011,"M",0.92,39,42,30,"LS","EsameMatematica",30
"CdS3",2011,"F",0.64,0,3,0,"TC","Non superato",0
"CdS3",2011,"M",1,57,60,29,"LS","EsameMatematica",31
"CdS3",2011,"M",0.92,48,51,29,"LS","EsameMatematica",29
"CdS3",2011,"M",0.88,39,39,27,"LS","EsameMatematica",25
"CdS3",2011,"M",0.88,39,42,25,"LS","EsameMatematica",27
"CdS3",2011,"F",0.84,39,42,23,"LS","EsameMatematica",26
"CdS3",2011,"F",0.92,30,33,25,"LS","EsameMatematica",24
"CdS3",2011,"F",0.92,30,33,27,"LS","EsameMatematica",27
"CdS3",2011,"M",1,15,18,30,"LS","EsameMatematica",30
"CdS3",2011,"F",0.68,0,3,0,"TC","Non superato",0
"CdS3",2011,"M",1,39,42,29,"LS","EsameMatematica",30
"CdS3",2011,"M",0.72,48,51,24,"LC","EsameMatematica",24
"CdS3",2011,"F",0.52,39,42,25,"LC","EsameMatematica",21
"CdS3",2011,"M",0.84,18,21,24,"LS","Non superato",0
"CdS3",2011,"M",0.76,48,51,29,"LS","EsameMatematica",28
"CdS3",2011,"F",0.72,0,5,0,"LC","Non superato",0
"CdS3",2011,"F",0.8,39,42,21,"LS","EsameMatematica",20
"CdS3",2011,"M",0.96,15,18,18,"LS","EsameMatematica",18
"CdS3",2011,"F",0.64,0,3,0,"LS","Non superato",0
"CdS3",2011,"F",1,30,33,26,"LS","EsameMatematica",25
"CdS3",2011,"F",0.84,48,54,23,"LS","EsameMatematica",26
"CdS3",2011,"M",0.88,15,15,29,"LS","EsameMatematica",29
"CdS3",2011,"F",0.84,30,33,23,"LS","EsameMatematica",24
"CdS3",2011,"F",0.96,9,12,30,"LS","EsameMatematica",25
"CdS3",2011,"F",0.8,39,42,28,"Altro","EsameMatematica",30
"CdS3",2011,"F",0.44,24,27,22,"LC","EsameMatematica",24
"CdS3",2011,"F",0.68,30,33,20,"LS","EsameMatematica",19
"CdS3",2011,"F",0.88,30,30,22,"LS","EsameMatematica",20
"CdS3",2011,"F",0.64,30,33,21,"LS","EsameMatematica",19
"CdS3",2011,"M",0.64,0,3,0,"IT","Non superato",0
"CdS3",2011,"M",0.68,0,3,0,"LS","EsameMatematica",25
"CdS3",2011,"M",0.6,15,15,20,"LS","EsameMatematica",24
"CdS3",2011,"F",0.6,30,33,21,"Altro","EsameMatematica",20
"CdS3",2011,"F",0.4,24,27,23,"TC","EsameMatematica",23
"CdS3",2011,"M",1,48,51,28,"LS","EsameMatematica",31
"CdS3",2011,"M",0.72,30,33,22,"LS","EsameMatematica",20
"CdS3",2011,"F",0.84,39,42,23,"LS","EsameMatematica",22
"CdS3",2011,"M",0.76,30,33,24,"LS","EsameMatematica",23
"CdS3",2011,"F",0.64,0,3,0,"LS","Non superato",0
"CdS3",2011,"F",0.76,39,42,26,"Altro","EsameMatematica",26
"CdS3",2011,"F",0.76,30,33,24,"LS","EsameMatematica",21
"CdS3",2011,"M",0.96,48,51,24,"LS","EsameMatematica",23
"CdS3",2011,"M",0.68,48,51,29,"LS","EsameMatematica",28
"CdS3",2011,"M",0.88,15,15,19,"LS","EsameMatematica",19
"CdS3",2011,"M",0.56,15,18,25,"LS","EsameMatematica",23
"CdS3",2011,"M",0.92,42,48,24,"LS","EsameMatematica",26
"CdS3",2011,"M",0.92,42,48,24,"LS","EsameMatematica",26
"CdS1",2012,"F",0.210526315789474,0,3,0,"Altro","Non superato",0
"CdS1",2012,"M",0.947368421052632,39,42,26,"LS","EsameMatematica",28
"CdS1",2012,"M",0.947368421052632,57,60,26,"LS","EsameMatematica",28
"CdS1",2012,"F",0.684210526315789,57,60,26,"LS","EsameMatematica",26
"CdS1",2012,"M",0.894736842105263,57,60,27,"LS","EsameMatematica",28
"CdS1",2012,"M",0.842105263157895,12,15,29,"LS","EsameMatematica",24
"CdS1",2012,"M",0.789473684210526,18,21,22,"LS","EsameMatematica",22
"CdS1",2012,"M",0.789473684210526,27,30,21,"LS","EsameMatematica",18
"CdS1",2012,"F",0.421052631578947,57,60,26,"LC","EsameMatematica",26
"CdS1",2012,"M",0.842105263157895,57,60,27,"LS","EsameMatematica",30
"CdS1",2012,"M",0.631578947368421,39,39,22,"LS","Non superato",0
"CdS1",2012,"F",0.578947368421053,33,33,21,"LS","EsameMatematica",23
"CdS1",2012,"M",1,63,66,31,"LS","EsameMatematica",31
"CdS1",2012,"M",0.789473684210526,57,60,25,"LS","EsameMatematica",25
"CdS1",2012,"M",0.894736842105263,57,60,29,"LS","EsameMatematica",28
"CdS1",2012,"F",0.631578947368421,33,36,24,"LS","EsameMatematica",24
"CdS1",2012,"M",0.473684210526316,45,81,23,"LS","EsameMatematica",22
"CdS1",2012,"M",0.736842105263158,57,60,28,"LS","EsameMatematica",26
"CdS1",2012,"M",0.842105263157895,57,60,30,"LS","EsameMatematica",31
"CdS1",2012,"M",0.315789473684211,18,21,21,"LS","Non superato",0
"CdS1",2012,"M",0.789473684210526,57,60,29,"LS","EsameMatematica",31
"CdS1",2012,"M",0.789473684210526,57,57,27,"LC","EsameMatematica",27
"CdS1",2012,"M",0.368421052631579,39,42,22,"LS","EsameMatematica",19
"CdS1",2012,"M",0.157894736842105,36,72,23,"LS","EsameMatematica",24
"CdS1",2012,"M",0.578947368421053,51,54,23,"LS","EsameMatematica",20
"CdS1",2012,"M",0.473684210526316,45,45,22,"LS","EsameMatematica",24
"CdS1",2012,"F",0.368421052631579,45,48,25,"LS","EsameMatematica",24
"CdS1",2012,"M",0.263157894736842,48,48,26,"IT","EsameMatematica",27
"CdS1",2012,"M",0.947368421052632,57,60,30,"LS","EsameMatematica",28
"CdS1",2012,"M",0.421052631578947,33,87,25,"IT","EsameMatematica",23
"CdS1",2012,"F",0.631578947368421,57,60,26,"LS","EsameMatematica",27
"CdS1",2012,"F",0.684210526315789,24,27,24,"LS","EsameMatematica",23
"CdS1",2012,"M",0.894736842105263,63,66,29,"LS","EsameMatematica",27
"CdS1",2012,"F",0.631578947368421,24,24,22,"Altro","Non superato",0
"CdS1",2012,"M",0.736842105263158,57,60,23,"LS","EsameMatematica",24
"CdS1",2012,"F",0.736842105263158,57,60,27,"LS","EsameMatematica",27
"CdS1",2012,"M",0.789473684210526,57,60,28,"LS","EsameMatematica",26
"CdS1",2012,"M",0.368421052631579,6,12,28,"LS","Non superato",0
"CdS1",2012,"M",0.578947368421053,24,24,22,"LS","EsameMatematica",22
"CdS1",2012,"F",0.578947368421053,39,42,27,"LC","EsameMatematica",25
"CdS1",2012,"M",0.421052631578947,27,27,24,"LS","EsameMatematica",27
"CdS1",2012,"F",0.473684210526316,57,60,25,"Altro","EsameMatematica",24
"CdS1",2012,"M",0.789473684210526,57,57,26,"LC","EsameMatematica",31
"CdS1",2012,"F",0.315789473684211,0,3,0,"IT","Non superato",0
"CdS1",2012,"M",0.736842105263158,57,60,26,"LS","EsameMatematica",28
"CdS1",2012,"M",0.684210526315789,57,60,28,"LS","EsameMatematica",30
"CdS1",2012,"M",0.842105263157895,57,60,29,"LS","EsameMatematica",27
"CdS1",2012,"M",0.947368421052632,57,60,29,"LS","EsameMatematica",27
"CdS1",2012,"F",0.894736842105263,57,60,26,"LS","EsameMatematica",29
"CdS1",2012,"M",0.789473684210526,39,42,22,"LS","EsameMatematica",20
"CdS1",2012,"M",0.736842105263158,51,54,26,"LS","EsameMatematica",27
"CdS1",2012,"M",1,12,12,26,"IT","EsameMatematica",26
"CdS1",2012,"M",0.421052631578947,39,42,24,"IT","EsameMatematica",25
"CdS1",2012,"F",0.789473684210526,45,48,25,"LS","EsameMatematica",26
"CdS1",2012,"F",0.631578947368421,21,24,24,"LS","EsameMatematica",28
"CdS1",2012,"M",0.842105263157895,69,123,28,"LS","EsameMatematica",25
"CdS1",2012,"M",0.842105263157895,69,123,28,"LS","EsameMatematica",25
"CdS1",2012,"M",0.789473684210526,33,33,26,"LS","EsameMatematica",26
"CdS1",2012,"M",1,6,9,29,"LC","Non superato",0
"CdS1",2012,"M",0.631578947368421,30,57,23,"LS","EsameMatematica",20
"CdS2",2012,"M",0.631578947368421,21,36,21,"IT","EsameMatematica",23
"CdS2",2012,"M",0.210526315789474,36,39,25,"Altro","EsameMatematica",21
"CdS2",2012,"M",0.473684210526316,36,9,24,"LS","EsameMatematica",24
